"Post Title",Author,Bio,"Video URL","Video 2 URL","Video 3 URL","GIF Breakdown",Status,Type,Development,Emotions,"Fallen Affect","J Signal Mixing","P Signal Mixing",Alternative,Sex,"Age Range",Geography,Ethnicity,Checkbox,"Checkbox 1","R1 Rigid Posture Copy","R2 Face Centric","R3 Punctuated Motions","R4 Vertical Movements","R5 Subordinate Fluidity","F1 Fluid Posture","F2 Eye Centric","F3 Gliding Motions","F4 Horizontal Movements","F5 Subordinate Rigidity","PF1 Restless Momentum","PF2 Toggling Eyes","PF3 Body Swaying","PF4 Casual Hands","PF5 Alert Perk Ups","RF1 Viscous Inertia","RF2 Fixed Gaze","RF3 Diagonal Eye Drifts","RF4 Searching Scowling","RF5 Narrow Head Zoning","PR1 Head Pushes","PR2 Head Shakes","PR3 Shoulder Shrugs","PR4 Fluent Articulation","PR5 Projecting Hands","RR1 Poised Receding","RR2 Disengaging Eyes","RR3 Exerted Pushes","RR4 Momentum Halting","RR5 Meticulous Hands","CA1 Taut Nasolabial Area","CA2 Vertical Snarling Smiles","CA3 Four Point Pulling","CA4 Wobbling Lips","CA5 Asymmetrical Smirks","CA6 Sassy Movements","CA7 Plateau Velocity","CA8 Nasal Breathy Voice","CA9 Grasping Hands","MS1 Lax Nasolabial Area","MS2 Horizontal Curtain Smiles","MS3 Two Point Pulling","MS4 Symmetrical Lips","MS5 Emotional Neutralization","MS6 Coordinated Movements","MS7 Parabolic Velocity","MS8 Laryngeal Faint Voice","MS9 Puppeteer Hands","GR1 Taut Preseptal Area","GR2 Lax Pretarsal Area","GR3 Taut Outer Edges","GR4 Intense Scowling","GR5 Pointed Eye Toggles","GR6 Eye Head Parallel Motion","GR7 Grounding Effect","GR8 Bodily Awareness","SU1 Lax Preseptal Area","SU2 Taut Pretarsal Area","SU3 Lax Outer Edges","SU4 Concerned Scowling","SU5 Brushstrokes Eye Toggles","SU6 Eye Head Trailing Motions","SU7 Levity Effect","SU8 Quirky Skits","EU1 Responsive Nodding","EU2 Polite Smiling","EU3 Bashful Body Movements","EG1 Upset Mouth Tension","EG2 Assertive Pushing","EG3 Stern Expressions"
"Simone Simons","Juan E. Sandoval","Simone Simons, born on January 17, 1985, in Hoensbroek, Netherlands, is an internationally acclaimed singer and songwriter. She is best known as the lead vocalist of the Dutch symphonic metal band Epica. With her striking red hair and powerful mezzo-soprano voice, Simons has become a dominant figure in the metal scene. Her operatic vocal style blends beautifully with the heavy instrumentals and orchestration of Epica, and she often incorporates classical and gothic elements. ",https://www.youtube.com/watch?v=VgP_Ci2b23Q,https://www.youtube.com/watch?v=yMYbBIfMCS4,https://www.youtube.com/watch?v=JzOXfTqNxLA,https://docs.google.com/document/d/1Y7l4-3Dl2u1yUJ3CEeGlMJIntnaLo_CgM5L53q2AL-o/edit,,fine,i---,seelie,0,low,low,ll--,female,1980s,western_europe,white/european,,"juan_e._sandoval | calin_copil",7,7,2,,4,0,,2,,,4,4,2,0,,,,,2,,2,2,2,2,2,7,7,2,7,4,4,4,4,7,,2,2,4,,,,,,,,2,,,,,0,,,,,,7,7,4,2,7,2,7,,4,7,4,,,
Poppy,"Juan E. Sandoval","Poppy (Moriah Rose Pereira), born January 1, 1995, is an American singer, songwriter, and Internet sensation. Poppy is known for her enigmatic presence and style, described as an amalgamation of avant-garde pop, electronica, and kawaii culture. Her music and videos often contain satirical commentary on internet culture and the idolization of pop stars, as she employs a robotic, doll-like persona. With hits like “Lowlife” and “I Disagree,” Poppy challenges conventional pop music by blending dark, thought-provoking themes with catchy melodies.",https://www.youtube.com/watch?v=EEF1qiFg5Dc,https://www.youtube.com/watch?v=yLSqD_al8hs,https://www.youtube.com/watch?v=_8XSVlDkhPQ,,,fine,i---,seelie,0,low,low,"Bordering on ll-- in younger videos.",female,1990s,north_america,white/european,,juan_e._sandoval,7,7,,,,,,,2,,4,2,2,2,2,,4,,,0,,,,,,7,7,2,4,4,4,7,4,2,,,,7,,,4,0,4,2,0,,,,,,7,,,,,,4,7,,,4,,4,,7,7,2,,,
"Ken Liu","Calin Copil","Ken Liu - a Chinese-American writer, translator, programmer, and lawyer - has made significant contributions to the science fiction and fantasy genres. Known for his captivating short stories, Liu often delves into thought-provoking themes such as identity, culture, and the impact of technology on society. His short story ""The Paper Menagerie"" is the first work of fiction, of any length, to win all of the Nebula, Hugo, and World Fantasy Awards. His work has been adapted into several film &amp; television projects, including the Netflix breakout adult animated series LOVE DEATH + ROBOTS and AMC’s Pantheon. In addition to his original writing, Liu is highly regarded for his translations of Chinese science fiction into English, thereby introducing a wider audience to the rich literary traditions of China. Before becoming a writer, Liu worked as a software engineer, lawyer, and high-tech litigation consultant.",https://www.youtube.com/watch?v=RLvwydCfXqM,https://www.youtube.com/watch?v=_PZZUmv5RR0,https://www.youtube.com/watch?v=1OJwG0wO2PQ,https://docs.google.com/document/d/1GSHSi-PWpa1uy3muFCQVmleUSAohdejC9XM_y8JC2zA/edit,,sefi,iiii,unseelie,1,medium,low,,male,1970s,east_asia,east_asian,,"juan_e._sandoval | calin_copil",4,2,2,7,0,7,4,4,7,7,4,2,7,7,7,2,0,4,7,2,7,7,4,4,4,7,7,2,2,7,2,7,2,2,2,7,7,0,2,2,,,4,2,4,2,0,2,4,4,,7,2,,4,,,,2,,2,0,2,,4,0,2,,2,7
"Laura Marling","Juan E. Sandoval","Laura Marling is a critically acclaimed British folk singer-songwriter and musician. Born on February 1, 1990, in Eversley, Hampshire, she gained prominence as part of London's folk scene in the late 2000s. With her evocative lyrics and distinctively ethereal voice, she has received various accolades, including the Brit Award for Best British Female Solo Artist. Marling’s discography, including albums like ""Alas, I Cannot Swim"" and ""Semper Femina,"" showcases her adept storytelling and innovative guitar work, securing her a dedicated following and a respected place in the contemporary folk music scene.",https://www.youtube.com/watch?v=DTtZoY3HNl4,https://www.youtube.com/watch?v=JuMzVjhRQEQ,https://www.youtube.com/watch?v=hlP5YcyBCmg,https://docs.google.com/document/d/12ok-ja8zzdhB4DMtxSkveu5mCGHqUz9758DQe8x4AXk/edit?usp=sharing,,fine,i---,seelie,0,medium,low,TiNe,female,1990s,western_europe,white/european,,juan_e._sandoval,7,4,4,,4,,,,2,,2,2,2,2,2,,,,2,,2,2,,,,7,7,2,7,4,7,7,2,2,,4,4,4,,0,4,2,4,4,,,,4,2,2,4,,,,,,7,7,4,4,4,4,7,,4,4,7,,,
"Pete Davidson","Juan E. Sandoval","Pete Davidson (born on November 16, 1993) is an American comedian and actor, widely known for his time as a cast member on Saturday Night Live (SNL), which he joined in 2014 at the age of 20, making him one of the youngest members in the show’s history. Davidson's sharp wit and relatable humor quickly made him a fan favorite. In addition to SNL, he has appeared in several films and television shows, and his personal life often attracts media attention. Davidson is also recognized for speaking openly about his mental health struggles.",https://www.youtube.com/watch?v=yR3COimmmGI,https://www.youtube.com/watch?v=RUsI904vs0E,https://www.youtube.com/watch?v=MS1NzYrJkS0,https://docs.google.com/document/d/1_UYCUan9PpdqLa2kZd7_F84utH5t5BI9bsAayvR5YGE/edit?usp=sharing,,neti,i---,adaptive,3,low,medium,SeTi,male,1990s,north_america,white/european,,"juan_e._sandoval | sierra_rose",,,,,,7,7,4,4,2,7,4,7,7,4,,,2,,,,,,,2,,,,2,4,,,,2,,,,,,7,7,7,4,,,,4,,2,2,4,,2,4,4,,7,4,,2,2,2,7,7,7,4,2,,,
"Adama Traore","Juan E. Sandoval","Adama Traoré is a professional footballer known for his incredible physique, speed, and dribbling skills. Born on January 25, 1996, in L'Hospitalet, Spain, he represents both the Spanish national team and plays as a winger for Wolverhampton Wanderers in the English Premier League. Traoré started his career at Barcelona's youth academy, La Masia, before making senior appearances with various clubs. His physical prowess and ability to take on defenders make him one of the most exciting wingers in modern football.",https://www.youtube.com/watch?v=ROO48f92-Tw,https://www.youtube.com/watch?v=VIMZV0FNNMw,https://www.youtube.com/watch?v=aaY5sPZteOE,https://docs.google.com/document/d/1-8MoPZbsccH_BG2k-5415LA9KV7yhdVZFeRBLmIoha0/edit,,seti,i--i,directive,2,low,low,ll-l,male,1990s,western_europe,black/african,,"juan_e._sandoval | calin_copil",2,,,,,4,7,4,2,4,7,4,4,2,4,2,4,4,2,4,,2,,,,2,4,,4,2,,,,2,,,,,,7,7,7,4,4,,,7,,7,4,7,,4,7,4,2,,,,,,,,,2,2,,2,,7
"Dario Nardi","Juan E. Sandoval","Dario Nardi is a cognitive neuroscientist, researcher and lecturer known for his work in the field of personality and brain science. He taught computing and anthropology at UCLA from 1998-2012. While there, he won UCLA's Copenhaver Award for Innovative Use of Technology in 2005 and UCLA's Distinguished Teacher of the year in 2011. His books focus on personality, neuroscience, and practices for well-being. Dario has conducted hands-on brain research, utilizing insights of real-time EEG technology.",https://www.youtube.com/watch?v=JgFERPXB0SA,https://www.youtube.com/watch?v=uor9qjQxH5g,https://www.youtube.com/watch?v=x2NmqM63f14,https://docs.google.com/document/d/1zwZbMH3LtGIlxj4n_Vud7RIU6ezHYcSBRFXCTWe_moA/edit?usp=sharing,,nefi,i-i-,unseelie,1,low,low,"TeSi I-I-",male,1970s,north_america,white/european,,"juan_e._sandoval | calin_copil | luke_connolly",,,2,,,7,7,4,7,7,7,2,7,4,4,,,2,,,2,7,2,4,4,,7,,2,,2,7,7,7,4,7,7,7,2,4,,,,,,,,2,2,,,,2,4,,,4,7,7,2,,,7,2,2,2,,,4,2
"Josh Richards","Juan E. Sandoval","Joshua Kenneth Richards (born January 31, 2002) is a Canadian social media personality and influencer. He has a following on a number of social media platforms and serves as the CEO of CrossCheck Studios. Richards has garnered a following of over 25 million on TikTok, and other platforms. His posts often include sports content, dancing, lip syncing, comedy, and video skits. He has acted in films including Brother's Keeper, Summertime Dropouts, and the upcoming Dream Scenario with Nicolas Cage and Noah Centineo.",https://www.youtube.com/watch?v=9ytHaa01yUM,https://www.youtube.com/watch?v=TcblcM8AXK8,https://www.youtube.com/watch?v=r85vrCcZbFY,https://docs.google.com/document/d/1rclZyedQN5Sx-iPuB5Brqk3wQ0muflN_lFSSmPPzsUk/edit,,seti,i---,adaptive,0,low,low,,male,2000s,north_america,other/unknown,,"juan_e._sandoval | calin_copil",,,2,,,7,7,7,7,7,7,4,7,7,2,,,2,,,,2,,4,2,,,,,2,,,,,,2,,,,7,7,4,7,,,2,4,2,4,4,4,,7,7,7,4,4,,,,,,,,4,4,,,,2
"Gillian Anderson","Calin Copil","Gillian Anderson is an accomplished American actress renowned for her diverse roles in film, television, and theater. She gained global recognition for her portrayal of FBI Special Agent Dana Scully in the iconic TV series ""The X-Files,"" earning accolades such as an Emmy and a Golden Globe. Beyond her acting career, Anderson is involved in activism &amp; philanthropy, supporting causes like women's rights, children's rights, and environmental conservation. Her other passions and interests include writing, art collecting, architecture &amp; interior design.",https://www.youtube.com/watch?v=Bl_b2l0Qd8Y,https://www.youtube.com/watch?v=80nWE5Un3XM,https://www.youtube.com/watch?v=oZQ-jE0EsiU,https://docs.google.com/document/d/1G6bQ8PCP73IaoU1VWK-fPNAdcSTB9iqzvJtn66m2w24/edit?usp=sharing,,fesi,i--i,adaptive,0,medium,low,"TiNe I--I",female,1960s,north_america,white/european,,"juan_e._sandoval | calin_copil | peter_j._foy",4,4,4,4,2,2,,,2,,,2,2,2,4,,2,2,2,,7,2,2,4,7,7,2,2,2,7,2,,4,4,2,2,2,,2,2,7,4,,4,4,4,2,4,,2,2,,,,,,2,4,,2,2,2,4,,2,4,4,,2,2
"Megan Fox","Sierra Schwartz","Megan Fox is an American actress and model known for her notable contributions to the entertainment industry. Born on May 16, 1986, she has achieved recognition for her work in various films and television shows. With her distinctive features and talent, Fox has garnered a significant following and has been praised for her performances. Alongside her acting career, she has also made appearances in notable fashion campaigns. Megan Fox continues to engage audiences with her on-screen presence and remains an influential figure in the entertainment world.",https://cognitivetype.net/s/FiSe_Megan_Fox_1.mp4,https://www.youtube.com/watch?v=01R4vYO6TSw,https://www.youtube.com/watch?v=Mu_KjHDGBiU,https://docs.google.com/document/d/1SL9dXSDpbZKeikELgPctaZgpQavLamqw20yTpsiTlXc/edit,publish,fise,ii--,unseelie,,low,low,,female,1980s,north_america,white/european,,"juan_e._sandoval | calin_copil | sierra_rose",7,4,4,4,4,2,2,2,4,,2,7,2,7,2,,2,2,,,,2,2,4,4,4,7,4,2,7,2,4,4,4,4,7,4,7,2,2,4,,,2,2,2,,,7,4,7,,4,4,4,4,,,,,2,2,,,,4,,4,4,4
"Xi Jinping","Juan E. Sandoval","Xi Jinping is a prominent Chinese politician, serving as the General Secretary of the Communist Party of China since 2012, and the President of the People's Republic of China since 2013. Born on June 15, 1953, in Beijing, he is known for his assertive leadership style and the implementation of policies aiming to strengthen China’s global position. Under his rule, China has seen significant economic growth and increased geopolitical influence, though his administration has also been criticized for its stance on human rights and lack of political freedoms.",https://www.youtube.com/watch?v=_dqXL-WShT4,https://www.youtube.com/watch?v=hqswus_nvK4,https://www.youtube.com/watch?v=Ys6skqxQKMk&t=1192s,https://docs.google.com/document/d/1hrW5s0wrd2XbYk_GzWrt9nG4piA2wD2CvgXOJ_625YU/edit?usp=sharing,,nife,i---,directive,0,low,high,SiFe,male,1950s,east_asia,han_chinese,,"juan_e._sandoval | calin_copil",2,,2,,,4,7,4,2,4,,2,,,,7,7,4,,7,2,2,,2,,,,,,,2,,2,2,,,,,,4,7,4,4,7,4,7,7,,4,2,7,2,2,2,,,4,2,2,2,2,,,,2,2,,4,,7
Lisa,"Peter Foy","Lisa (real name Lalisa Manobal) is a Thai rapper, singer and dancer who is a member of the South Korean girl group Blackpink. She was born on March 27, 1997 in Buriram Province, Thailand. Lisa was the second member to join Blackpink and is the youngest of the group. She’s the main dancer of the group, though she also raps and sings. Lisa speaks Thai, Korean, English and Japanese. Lisa is known for her pristine bangs, spirited personality and effortless style.",https://www.youtube.com/watch?v=kzmIpwLv_lM,https://www.youtube.com/watch?v=e6PtISqlQLg,https://www.youtube.com/watch?v=KvampKnG1dU,,,nefi,ii--,seelie,0,,medium,,female,1990s,southeast_asia,east_asian,,"juan_e._sandoval | peter_j._foy",2,,2,,,7,4,2,4,4,2,4,4,4,2,,,2,,,2,2,,2,2,4,2,4,,7,2,7,4,7,4,2,2,4,,,,,,,,0,,,,,7,,2,0,2,,4,4,,2,2,2,,4,,7,2,,,
"Roger Scruton","Calin Copil","Roger Scruton (1944-2020) was a prominent British philosopher who left a lasting impact on conservative thought. He held academic positions at renowned institutions and authored over 50 books, covering diverse topics such as philosophy, aesthetics, and politics. Scruton championed the importance of tradition, arguing for its preservation as a source of social stability and cultural identity. He emphasized the value of beauty and aesthetics in human experience, highlighting their role in shaping our perception of the world. Scruton's work extended beyond academia, as he actively engaged in public discourse, addressing issues such as environmentalism, architecture, and the preservation of rural landscapes.",https://www.youtube.com/watch?v=FYo4KMhUx9c,https://www.youtube.com/watch?v=xoybTk6TEX4,,https://docs.google.com/document/d/14tpD6htIfqPhUnb3CjgGYgwf2k4jFYOcgM7yQhGMYLI/edit,,nife,ii--,directive,2,low,low,"I--- in the 2nd vid",male,1940s,western_europe,white/european,,"juan_e._sandoval | calin_copil | peter_j._foy",,,2,2,,2,2,,4,2,2,2,,,2,7,7,7,2,7,4,2,2,4,4,,2,0,,2,,,2,,2,,,,,7,2,2,2,2,4,4,7,,,2,7,2,2,,,,2,,,,,,,,0,0,,2,,2
"John Demartini","Juan E. Sandoval","Dr. John Demartini is a renowned speaker, author, educator, and business consultant specializing in human behavior. With a background in chiropractic, he has shifted his focus to empowering individuals and organizations through his teachings on setting goals, health, wealth, and relationships. Dr. Demartini is best known for his book ""The Breakthrough Experience"" and his contributions to the film “The Secret”. His methodology, the Demartini Method, is designed to align you to your highest values and to align polarized emotions into feelings of presence, certainty, gratitude and love.",https://www.youtube.com/watch?v=bKh2vb_RQbw,https://www.youtube.com/watch?v=EYE-UURAOlA,https://www.youtube.com/watch?v=Up0wNSedJ1A,https://docs.google.com/document/d/15CmRNWDESyTuEMpuENZNPTvUzUboXvYFd2TyEgzc1MM/edit,,tesi,i---,seelie,0,low,low,,male,1950s,north_america,white/european,,"juan_e._sandoval | calin_copil",7,4,7,4,4,,2,,2,,2,,,,,,,2,,2,4,7,7,7,4,,2,,2,2,4,4,4,7,2,7,4,2,,0,2,,,2,,2,,2,,,,,4,0,,,7,7,4,,,,,,2,4,,,,
Isaac,"Juan E. Sandoval","Isaac is an American with a keen interest in personality theories such as Jungian psychology and Enneagram. He also holds interest in philosophy and physics. He's non-religious and is an admirer of the worldviews of Sam Harris. Isaac considers knowing what one believes in and having a reason for those beliefs to be very important.",https://www.youtube.com/watch?v=9s-e4-4LYeA,https://www.youtube.com/watch?v=g8rEqf1147I,,,,tine,i---,directive,2,low,low,"Adaptive, more info needed to be sure of Em.",male,2000s,north_america,white/european,,juan_e._sandoval,7,7,,,,0,,2,,,2,4,,,,,2,2,,2,,,2,,,7,4,2,7,2,,2,,,,,,,,7,4,7,7,7,,,7,2,,2,4,,2,,2,,7,4,2,4,4,2,4,,,0,2,,,4
Thales,"Juan E. Sandoval","Thales is a Brazilian philosophy student, chiefly interested in analyzing aspects of pop culture with a philosophical lens. His works include analyses of Carl Jung, Alan Moore and David Chalmers among others. He advocates for careful, meticulous analysis of philosophical semantics, so as to grasp the exact meaning of each thinker.",https://www.youtube.com/watch?v=y-qA4iPF5KI&t=482s,https://www.youtube.com/watch?v=hoTX_KL9l5g,https://www.youtube.com/watch?v=8mDozaAYwg4,https://docs.google.com/document/d/1cfXIyt7EAAoLf748omnkxKGK6HyvevMHoVvFHCWA5O0/edit?usp=sharing,,tine,i---,adaptive,2,low,high,"ll-- in some clips",male,1990s,latin_america,hispanic/latino,,juan_e._sandoval,4,4,2,4,7,2,,2,2,,4,2,2,4,2,,,,,,,,,,4,7,7,2,7,7,,,,,,,,,,7,7,7,7,7,,,4,7,,2,7,0,2,,4,2,4,4,0,7,4,,2,2,2,4,,,,4
"Reese Regan","Juan E. Sandoval","Reese Regan is an American social media influencer and YouTuber known for her lifestyle content. Her YouTube channel, 'Basically Reese', is where she shares videos about fashion, beauty, daily vlogs, and college life. She also has a presence on Instagram, where she posts lifestyle photos and interacts with her followers. She provides her audience with tips on style, organization, and personal well-being, while maintaining an authentic and engaging online presence.",https://www.youtube.com/watch?v=YJ4F27K8nh8,https://www.youtube.com/watch?v=qUSbPLH8x_I,https://www.youtube.com/watch?v=Yi-8BcQyXDg,,,sefi,i---,unseelie,0,low,low,l-l-,female,2000s,north_america,white/european,,juan_e._sandoval,2,,2,0,,4,7,2,4,4,4,2,4,7,4,,,,,,0,4,2,4,4,,,,,2,4,4,7,7,2,2,2,4,,,,,,,4,4,,,7,4,7,2,2,2,,,,,,,,,,,0,4,,2,2,2
"Paul Adefarasin","Juan E. Sandoval","Paul Adefarasin is a renowned Nigerian pastor, televangelist, and author, best known as the founder and lead pastor of House on the Rock, a church with a diverse congregation. Born on January 25, 1963, in Lagos, Nigeria, Adefarasin has been instrumental in expanding the Christian faith through his motivational teachings. He is also the convener of The Experience, an annual gospel concert in Lagos that draws attendees from across the world. His inspiring messages focus on faith, leadership, and social empowerment.",https://www.youtube.com/watch?v=4B1Nk954qeM,https://www.youtube.com/watch?v=hu5FSVpHNe8,https://www.youtube.com/watch?v=ArfcwWxdi3o,,,fesi,i---,directive,0,low,low,,male,1960s,sub-sahara_africa,black/african,,juan_e._sandoval,4,4,7,7,4,,0,,2,,,,,,4,2,2,,2,2,7,7,4,7,7,,,,,2,,2,,,,,,,,2,7,4,7,2,7,7,7,2,4,2,,,,,,,7,4,7,7,,,,,4,4,,4,7,4
"Aushra Augusta","Juan E. Sandoval","Aushra Augusta (1918-2005) was a Lithuanian psychologist, economist and dean of the Vilnius Pedagogical University's department of family science.  She worked at the Ministry of Finance of Lithuania and later as a teacher of political economics and sociology in different educational institutions in Vilnius. She was also the founder of Socionics, a theory of interpersonal relations. She developed an extensive model of personality types based on Jung's typological ideas. Her theories have influenced a wide range of fields, including organizational psychology, relationship counseling, and team-building exercises. Despite criticism, Augusta's work in Socionics remains influential, especially in Eastern Europe.",https://www.youtube.com/watch?v=4cesPsKJzsA,https://www.youtube.com/watch?v=KxZ2Zf65QxU,https://www.youtube.com/watch?v=aBM0fJ_khxU,,,teni,ii--,unseelie,0,medium,low,"NiTe ll--",female,1910s,eastern_europe,white/european,,"juan_e._sandoval | bella_hershkoviz | sierra_rose",7,2,7,7,4,,4,,,0,,,,2,2,4,7,4,4,7,7,2,,7,7,,,,,,7,4,7,4,,,,2,7,,,,2,,7,7,,,7,7,7,7,4,7,2,,,,,,,,,,,,,7,7,7
"Nicole Hause","Peter Foy","Nicole Hause is an American professional skateboarder known for her fearless and technical style and her contributions to women's skateboarding. She has made a name for herself competing in various competitions such as the X-Games and the 2020 Tokyo Olympics. As a female skateboarder, she advocates for inclusivity and equal opportunities as well as being a role model for younger women in skateboarding. She continues to inspire and empower fellow skateboarders with her passion and dedication to the sport.",https://www.youtube.com/watch?v=NVyHZRVAisE,https://www.youtube.com/watch?v=6vXxB0vHUic,https://www.youtube.com/watch?v=zO1_VpwbACw,,,nefi,i--i,seelie,0,medium,medium,"SiTe I--I",female,1990s,north_america,white/european,,"juan_e._sandoval | peter_j._foy | luke_connolly",,2,,,,2,4,2,7,7,4,2,4,7,2,4,7,4,,2,,2,4,2,2,0,0,,,2,2,4,4,2,,2,2,2,2,0,,,4,2,,2,2,,4,,,,2,4,4,,2,7,2,,4,2,4,4,7,4,2,0,,
"David McDonald","Juan E. Sandoval","David McDonald is a youtuber who makes videos on Eastern concepts such as the illusion of the self, emptiness and awakening. He draws inspiration from thinkers such as Adyashanti on the ways of liberation. With videos topics such as ""The obliteration of time is the obliteration of self, which is the end of suffering"" and ""Not even the present moment exists and it’s endless freedom"", David advocates for entry into freedom and expansiveness through awareness of the true nature of reality.",https://www.youtube.com/watch?v=d8XBD0CeHIw,https://www.youtube.com/watch?v=sW2tN9CDNyQ,https://www.youtube.com/watch?v=f2PazegCA-U,,,tine,i---,adaptive,2,low,low,,male,-1,western_europe,white/european,,juan_e._sandoval,4,4,2,,,2,4,2,,,2,2,,,,,2,4,,2,,2,2,,4,2,4,2,7,2,,,,2,,,,,,7,4,7,4,7,2,7,7,4,,,,,2,2,2,2,7,7,4,,4,4,0,,7,7,,,,4
"Jamila Musayeva","Juan E. Sandoval","Jamila Musayeva is a UK certified etiquette coach and the author of “Etiquette: the least you need to know.”. She graduated from the George Washington University’s Elliot School of International Affairs with a Bachelor’s Degree in International Affairs and double minors in History and Sociology. Mrs. Musayeva conducts private and group workshops on etiquette and personal development both in Azerbaijan and internationally.",https://www.youtube.com/watch?v=LQUAzxDXGHE,https://www.youtube.com/watch?v=ZUcQphP9CN4,https://www.youtube.com/watch?v=GVuncw0i1Sc,,,tise,i---,adaptive,0,low,low,,female,-1,western_europe,white/european,,"juan_e._sandoval | calin_copil | sierra_rose",7,7,7,7,7,,,,,,,4,,,,,4,,,2,2,,,2,4,7,2,7,4,7,0,2,,,,,,4,,2,4,2,7,,7,7,4,,4,2,7,,4,,,,2,2,,,,,,,4,7,2,,,
Wenzes,"Juan E. Sandoval","Wenzes is former banking consultant turned life coach, focused on the INFJ personality type. She holds a Master's degree in Economics and is the creator of the INFJ EPIC LIFE FORMULA, a coaching/bootcamp program designed to help INFJs create fulfilling, balanced lives in alignment with their unique needs and goals. Through her website wenzes.com and various online platforms, she shares practical tips, insights and transformative strategies to empower INFJs in their personal and professional lives.",https://www.youtube.com/watch?v=EBgRNmjWIN4,https://www.youtube.com/watch?v=h95OOWAdziI,https://www.youtube.com/watch?v=wZoSdxjyAXI,,,teni,i---,unseelie,2,low,low,,female,-1,-1,-1,,"juan_e._sandoval | sierra_rose",4,7,7,4,4,,,2,,,,2,2,4,,,,2,2,,4,4,2,7,4,,,,,2,,4,7,7,,4,4,7,2,7,2,,,0,2,4,,,4,4,7,2,4,4,,,2,2,,,,,,,,2,,,7,4
"Sharon Gannon","Juan E. Sandoval","Sharon Gannon is a renowned yoga instructor, author, and animal rights advocate. Gannon studied Dance at the University of Washington, before she co-founded the Jivamukti Yoga method in 1984 alongside David Life, which blends ethical, spiritual, and philosophical elements with physical discipline. Gannon's teachings emphasize compassionate living and environmental responsibility. The author of numerous books, including ""Yoga and Vegetarianism"", she has significantly influenced the integration of ethical considerations into yoga practice.",https://www.youtube.com/watch?v=LxklILoXkUg,https://www.youtube.com/watch?v=STPTt_I9OCY,https://www.youtube.com/watch?v=v9ns6OlFsSY,,,fise,i--i,seelie,0,low,low,"l--- in some videos",female,1950s,north_america,white/european,,juan_e._sandoval,7,7,4,7,4,,,2,,,,4,4,,2,,2,,,2,7,4,,0,4,7,7,4,7,7,7,7,7,2,,4,4,2,,,,,,,2,2,,,7,2,7,4,2,,,,,,,,2,,,,4,2,4,,2,2
"Clay Arnall","Sierra Schwartz","Clay Arnall is an entrepreneur and youtuber who makes videos on the INFJ personality type. His topics include overcoming people-pleasing tendencies, dealing with narcissists, financial advice, struggles with relationships, loneliness and the unique challenges of the INFJ type.",https://www.youtube.com/watch?v=YvefOaqRoCA,https://www.youtube.com/watch?v=-liVyuPkbh0,https://www.youtube.com/watch?v=aJ89Td-2vsM&t=64s,https://docs.google.com/document/d/1fd7QqetQlYd5dBrTg9ESdnPZQEOrFNCYrBNgb6dgp3c/edit,,teni,i-ii,unseelie,0,low,low,,male,-1,north_america,white/european,,"juan_e._sandoval | sierra_rose",7,4,7,7,7,4,4,4,4,2,4,7,2,4,4,2,2,,2,,4,7,4,7,7,4,4,2,2,4,7,4,4,4,2,7,7,2,4,,,,,,,,2,,4,4,7,7,7,4,4,2,,,,,2,,,,,,,4,7,4
"Robert A. Wilson","Juan E. Sandoval","Robert A. Wilson (1932-2007) was an American author, futurist, and self-proclaimed agnostic mystic. Recognized for his unique blend of philosophy, humor, and mysticism, Wilson is best known for ""The Illuminatus! Trilogy"", co-authored with Robert Shea. Heavily influenced by experiences in neuro-linguistic programming and psychedelic substances, his works often explore themes of consciousness, reality perception, and existentialism. Wilson's provocative and influential writings have left a mark on counterculture and speculative fiction.",https://www.youtube.com/watch?v=q0uImc27Ico,https://www.youtube.com/watch?v=GuOplymDx4I,https://www.youtube.com/watch?v=WekiRl16Oug,,,nite,i---,unseelie,0,low,low,,male,1930s,north_america,white/european,,juan_e._sandoval,,,2,,,4,7,2,7,7,,2,,,,7,4,7,2,7,2,2,,,2,,,,,,4,2,4,4,,,,7,2,,,,,2,,,,,4,7,2,2,4,7,2,,2,,4,2,,,,,,,,,,4
"Rampal Ji Maharaj","Juan E. Sandoval","Rampal Ji Maharaj, born on 8 September 1951, is an Indian spiritual leader who presents as an avatar of the supreme god Kabir. He founded the Satlok Ashram and propagated the teachings of Kabir Das, a 15th-century Indian mystic poet. Rampal Ji presents a reformist approach to spirituality, questioning traditional religious practices. His interpretations of scriptures have stirred debates in religious circles. Despite his popularity, he has also faced controversy and legal issues relating to his activities and practices.",https://www.youtube.com/watch?v=VIqc7VmcNJ4,https://www.youtube.com/watch?v=S7l9pcYOogI,https://www.youtube.com/watch?v=6B5lIPeVyNM,,,nite,i---,unseelie,3,high,low,"NiFe l--- with facial ticks",male,1950s,south_asia,indo-aryan,,juan_e._sandoval,,,2,2,,7,7,,4,7,,,,2,,7,7,4,,7,2,2,,,4,,,,2,2,4,,4,4,7,,,,0,,,,2,,4,7,4,,7,7,7,,,7,4,,,,,,,,,,,,,2,,7
