,Sample Name,Vultologist,Type,Development,Emotions,Fallen Affect,J Signal Mixing,P Signal Mixing,Sex,Age Range,Geography,Ethnicity,R1 Rigid Posture,R2 Face Centric,R3 Punctuated Motions,R4 Vertical Movements,R5 Subordinate Fluidity,F1 Fluid Posture,F2 Eye Centric,F3 Gliding Motions,F4 Horizontal Movements,F5 Subordinate Rigidity,PF1 Restless Momentum,PF2 Toggling Eyes,PF3 Body Swaying,PF4 Casual Hands,PF5 Alert Perk Ups,RF1 Viscous Inertia,RF2 Fixed Gaze,RF3 Diagonal Eye Drifts,RF4 Searching Scowling,RF5 Narrow Head Zoning,PR1 Head Pushes,PR2 Head Shakes,PR3 Shoulder Shrugs,PR4 Fluent Articulation,PR5 Projecting Hands,RR1 Poised Receding,RR2 Disengaging Eyes,RR3 Exerted Pushes,RR4 Momentum Halting,RR5 Meticulous Hands,CA1 Taut Nasolabial Area,CA2 Vertical Snarling Smiles,CA3 Four Point Pulling,CA4 Wobbling Lips,CA5 Asymmetrical Smirks,CA6 Sassy Movements,CA7 Plateau Velocity,CA8 Nasal Breathy Voice,CA9 Grasping Hands,MS1 Lax Nasolabial Area,MS2 Horizontal Curtain Smiles,MS3 Two Point Pulling,MS4 Symmetrical Lips,MS5 Emotional Neutralization,MS6 Coordinated Movements,MS7 Parabolic Velocity,MS8 Laryngeal Faint Voice,MS9 Puppeteer Hands,GR1 Taut Preseptal Area,GR2 Lax Pretarsal Area,GR3 Taut Outer Edges,GR4 Intense Scowling,GR5 Pointed Eye Toggles,GR6 Eye Head Parallel Motion,GR7 Grounding Effect,GR8 Bodily Awareness,SU1 Lax Preseptal Area,SU2 Taut Pretarsal Area,SU3 Lax Outer Edges,SU4 Concerned Scowling,SU5 Brushstrokes Eye Toggles,SU6 Eye Head Trailing Motions,SU7 Levity Effect,SU8 Quirky Skits,EU1 Responsive Nodding,EU2 Polite Smiling,EU3 Bashful Body Movements,EG1 Upset Mouth Tension,EG2 Assertive Pushing,EG3 Stern Expressions,sum,Lead Energetic,Quadra,Candid Score,Measured Score,Grounded Score,Suspended Score,J-Axis Coordinate,P-Axis Coordinate
85,John Lennon,Juan E. Sandoval,sefi,ii-i,guarded,2.0,low,low,male,1940s,western_europe,white/european,2.0,0.0,2.0,2.0,0.0,7.0,7.0,7.0,4.0,4.0,4.0,7.0,4.0,7.0,2.0,4.0,4.0,7.0,2.0,4.0,4.0,4.0,2.0,2.0,0.0,2.0,2.0,0.0,4.0,7.0,2.0,7.0,2.0,2.0,2.0,4.0,4.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,4.0,4.0,4.0,0.0,7.0,7.0,4.0,4.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,192.0,Pe,Gamma,23.0,10.0,34.0,6.0,-0.3939393939393939,-0.7
86,Michael Jackson,Calin Copil,tise,i--i,unguarded,1.0,medium,low,male,1950s,north_america,black/african,4.0,4.0,2.0,4.0,2.0,2.0,2.0,0.0,2.0,0.0,4.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,7.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,0.0,4.0,2.0,7.0,2.0,4.0,7.0,4.0,2.0,4.0,7.0,7.0,0.0,0.0,4.0,2.0,4.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,7.0,4.0,2.0,4.0,2.0,177.0,Ji,Beta,23.0,35.0,18.0,2.0,0.20689655172413793,-0.8
87,Vaia Tsolas,Juan E. Sandoval,tine,i--i,unguarded,2.0,low,low,female,-1,north_america,white/european,7.0,4.0,4.0,7.0,4.0,0.0,2.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,4.0,4.0,2.0,2.0,4.0,4.0,7.0,2.0,7.0,4.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,7.0,4.0,0.0,7.0,7.0,4.0,0.0,4.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,7.0,2.0,2.0,4.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,173.0,Ji,Alpha,4.0,40.0,10.0,21.0,0.8181818181818182,0.3548387096774194
88,Safsom,Juan E. Sandoval,nite,ii--,guarded,3.0,low,low,male,2000s,south_asia,nepalese,0.0,0.0,7.0,4.0,0.0,2.0,7.0,2.0,2.0,7.0,2.0,2.0,2.0,4.0,0.0,4.0,7.0,0.0,4.0,7.0,4.0,4.0,2.0,4.0,4.0,0.0,0.0,4.0,0.0,4.0,4.0,2.0,4.0,7.0,0.0,4.0,4.0,4.0,0.0,2.0,4.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,4.0,7.0,4.0,4.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,170.0,Pi,Gamma,29.0,14.0,23.0,4.0,-0.3488372093023256,-0.7037037037037037
89,Levi,Juan E. Sandoval,tise,i-i-,guarded,3.0,low,low,male,2000s,latin_america,hispanic/latino,7.0,4.0,4.0,4.0,7.0,0.0,2.0,2.0,4.0,0.0,2.0,4.0,0.0,7.0,0.0,2.0,7.0,4.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,7.0,0.0,4.0,4.0,4.0,2.0,4.0,2.0,0.0,4.0,4.0,7.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,188.0,Ji,Beta,4.0,27.0,33.0,13.0,0.7419354838709677,-0.43478260869565216
90,Gary Linkov,Calin Copil,sefi,i---,neutral,1.0,high,low,male,1980s,north_america,white/european,0.0,2.0,0.0,2.0,0.0,7.0,7.0,4.0,4.0,4.0,4.0,7.0,2.0,7.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,2.0,0.0,0.0,4.0,2.0,2.0,2.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,7.0,4.0,2.0,2.0,4.0,2.0,2.0,0.0,0.0,4.0,7.0,4.0,2.0,7.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,180.0,Pe,Gamma,28.0,23.0,30.0,6.0,-0.09803921568627451,-0.6666666666666666
92,Vinh Giang,Peter Foy,fesi,i-i-,neutral,0.0,low,low,male,1980s,australia/new_zeland,other/unknown,4.0,4.0,7.0,7.0,7.0,2.0,0.0,0.0,4.0,0.0,4.0,4.0,7.0,4.0,7.0,0.0,2.0,4.0,2.0,0.0,7.0,7.0,2.0,7.0,7.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,7.0,7.0,7.0,7.0,4.0,7.0,7.0,7.0,0.0,2.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,4.0,2.0,4.0,7.0,2.0,4.0,4.0,7.0,4.0,4.0,0.0,0.0,4.0,2.0,222.0,Je,Alpha,6.0,53.0,10.0,34.0,0.7966101694915254,0.5454545454545454
93,Robert E. Kahn,Juan E. Sandoval,site,ii--,unguarded,1.0,low,low,male,1930s,north_america,jewish,2.0,0.0,2.0,2.0,0.0,2.0,7.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,2.0,0.0,7.0,4.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,2.0,0.0,2.0,4.0,4.0,4.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,4.0,0.0,7.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,124.0,Pi,Delta,26.0,10.0,4.0,22.0,-0.4444444444444444,0.6923076923076923
94,Pierce Brown,Calin Copil,neti,i-ii,unguarded,0.0,low,low,male,1980s,north_america,white/european,0.0,2.0,2.0,4.0,0.0,7.0,7.0,4.0,4.0,4.0,2.0,4.0,7.0,4.0,4.0,4.0,0.0,4.0,7.0,2.0,4.0,2.0,0.0,4.0,7.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,7.0,7.0,4.0,2.0,4.0,7.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,2.0,2.0,7.0,2.0,4.0,7.0,4.0,2.0,2.0,2.0,2.0,7.0,0.0,0.0,0.0,2.0,195.0,Pe,Alpha,6.0,39.0,12.0,30.0,0.7333333333333333,0.42857142857142855
95,Andrew Wiles,Juan E. Sandoval,fine,i---,unguarded,2.0,low,low,male,1950s,-1,-1,7.0,4.0,4.0,7.0,4.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0,2.0,0.0,0.0,4.0,2.0,7.0,4.0,2.0,2.0,4.0,7.0,4.0,2.0,0.0,2.0,4.0,7.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,7.0,7.0,7.0,4.0,2.0,2.0,2.0,0.0,2.0,4.0,7.0,0.0,0.0,0.0,161.0,Ji,Delta,34.0,6.0,4.0,31.0,-0.7,0.7714285714285715
96,Douglas Hofstadter,Calin Copil,nife,iiii,neutral,1.0,low,high,male,1940s,north_america,jewish,2.0,2.0,2.0,4.0,0.0,4.0,7.0,2.0,4.0,4.0,2.0,7.0,2.0,2.0,2.0,7.0,7.0,4.0,0.0,7.0,2.0,2.0,2.0,4.0,7.0,2.0,4.0,2.0,2.0,7.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,4.0,4.0,4.0,2.0,7.0,4.0,7.0,7.0,2.0,2.0,7.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,189.0,Pi,Beta,6.0,41.0,17.0,13.0,0.7446808510638298,-0.13333333333333333
97,Noah Kahan,Calin Copil,sefi,i---,neutral,3.0,low,low,male,1990s,north_america,jewish,2.0,2.0,0.0,4.0,0.0,7.0,7.0,4.0,2.0,0.0,4.0,7.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,7.0,4.0,7.0,0.0,0.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,7.0,4.0,4.0,2.0,4.0,7.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,172.0,Pe,Gamma,32.0,10.0,32.0,4.0,-0.5238095238095238,-0.7777777777777778
99,Alex Hormozi,Calin Copil,feni,i-i-,guarded,1.0,low,low,male,1980s,north_america,-1,7.0,7.0,4.0,7.0,7.0,4.0,2.0,2.0,4.0,0.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,7.0,4.0,4.0,4.0,7.0,0.0,7.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,4.0,4.0,7.0,4.0,4.0,7.0,7.0,0.0,4.0,2.0,7.0,2.0,7.0,2.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,4.0,199.0,Je,Beta,4.0,41.0,28.0,4.0,0.8222222222222222,-0.75
100,Gloria White-Hammond,Juan E. Sandoval,fesi,i-i-,unguarded,0.0,low,low,female,1950s,north_america,black/african,2.0,4.0,7.0,4.0,7.0,4.0,2.0,4.0,2.0,0.0,2.0,2.0,7.0,4.0,2.0,4.0,4.0,2.0,0.0,4.0,4.0,7.0,0.0,4.0,7.0,0.0,0.0,2.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,4.0,7.0,7.0,7.0,0.0,2.0,7.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,7.0,4.0,4.0,0.0,4.0,0.0,7.0,4.0,2.0,0.0,0.0,0.0,194.0,Je,Alpha,8.0,40.0,4.0,30.0,0.6666666666666666,0.7647058823529411
102,Anton LaVey,Calin Copil,nife,i---,guarded,2.0,low,low,male,1930s,north_america,white/european,2.0,2.0,0.0,2.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,4.0,2.0,0.0,2.0,7.0,7.0,4.0,0.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,7.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,0.0,2.0,2.0,7.0,0.0,7.0,7.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,4.0,146.0,Pi,Beta,4.0,26.0,27.0,2.0,0.7333333333333333,-0.8620689655172413
103,Tim Berners-Lee,Calin Copil,tesi,i-i-,guarded,0.0,low,low,male,1950s,western_europe,white/european,4.0,4.0,4.0,7.0,7.0,4.0,2.0,4.0,4.0,0.0,7.0,2.0,7.0,0.0,7.0,2.0,2.0,2.0,4.0,2.0,7.0,4.0,2.0,4.0,7.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,4.0,4.0,2.0,7.0,7.0,4.0,4.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,4.0,4.0,4.0,7.0,2.0,2.0,7.0,0.0,0.0,2.0,0.0,2.0,2.0,4.0,195.0,Je,Delta,34.0,8.0,6.0,30.0,-0.6190476190476191,0.6666666666666666
104,Mooji,Juan E. Sandoval,nife,ii-i,unguarded,1.0,low,medium,male,1950s,western_europe,black/african,0.0,0.0,4.0,0.0,0.0,7.0,7.0,2.0,4.0,0.0,2.0,2.0,7.0,4.0,2.0,4.0,4.0,7.0,0.0,7.0,4.0,2.0,0.0,2.0,7.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,7.0,4.0,4.0,7.0,7.0,2.0,7.0,4.0,4.0,2.0,2.0,4.0,2.0,0.0,2.0,4.0,2.0,2.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,2.0,175.0,Pi,Beta,6.0,39.0,25.0,14.0,0.7333333333333333,-0.28205128205128205
105,Sara Seager,Juan E. Sandoval,site,i---,unguarded,0.0,low,low,female,1970s,north_america,jewish,2.0,0.0,2.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,2.0,7.0,4.0,0.0,7.0,2.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,4.0,7.0,0.0,2.0,4.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,7.0,4.0,4.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,117.0,Pi,Delta,35.0,4.0,4.0,21.0,-0.7948717948717948,0.68
106,Channy Leaneagh,Juan E. Sandoval,fine,i---,unguarded,0.0,high,medium,female,1980s,north_america,white/european,7.0,7.0,2.0,0.0,7.0,0.0,0.0,2.0,4.0,0.0,2.0,4.0,0.0,7.0,0.0,0.0,2.0,4.0,0.0,2.0,2.0,2.0,2.0,0.0,4.0,4.0,4.0,4.0,7.0,7.0,4.0,4.0,4.0,4.0,7.0,0.0,0.0,2.0,0.0,2.0,4.0,2.0,2.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,7.0,0.0,2.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,168.0,Ji,Delta,25.0,18.0,11.0,20.0,-0.16279069767441862,0.2903225806451613
107,Kevin Parker,Peter Foy,seti,ii--,unguarded,0.0,medium,low,male,1980s,australia/new_zeland,white/european,2.0,2.0,2.0,0.0,0.0,4.0,7.0,4.0,7.0,7.0,4.0,4.0,7.0,4.0,4.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,2.0,4.0,2.0,7.0,4.0,0.0,2.0,4.0,0.0,0.0,2.0,2.0,4.0,4.0,2.0,0.0,0.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0,4.0,0.0,7.0,4.0,7.0,7.0,2.0,7.0,7.0,7.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,4.0,4.0,2.0,2.0,0.0,2.0,205.0,Pe,Beta,14.0,26.0,48.0,8.0,0.3,-0.7142857142857143
108,Stanislav Grof,Calin Copil,nife,i---,neutral,1.0,low,low,male,1930s,eastern_europe,white/european,0.0,2.0,2.0,2.0,0.0,4.0,2.0,2.0,4.0,2.0,0.0,2.0,2.0,2.0,2.0,7.0,7.0,4.0,2.0,7.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,4.0,7.0,7.0,0.0,0.0,2.0,7.0,2.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,135.0,Pi,Beta,6.0,24.0,15.0,6.0,0.6,-0.42857142857142855
109,Brandon Cronenberg,Calin Copil,sefi,i-i-,neutral,1.0,low,low,male,1980s,north_america,white/european,2.0,2.0,2.0,4.0,0.0,7.0,7.0,4.0,7.0,7.0,4.0,7.0,7.0,7.0,4.0,0.0,0.0,4.0,0.0,2.0,4.0,2.0,0.0,4.0,7.0,0.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,7.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,4.0,2.0,4.0,0.0,7.0,2.0,4.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,2.0,2.0,2.0,0.0,2.0,193.0,Pe,Gamma,35.0,8.0,27.0,6.0,-0.627906976744186,-0.6363636363636364
110,Liam Payne,Peter Foy,neti,i-i-,unguarded,0.0,,low,male,1990s,western_europe,white/european,0.0,2.0,2.0,2.0,0.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,7.0,0.0,0.0,0.0,4.0,0.0,2.0,4.0,2.0,7.0,4.0,4.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,2.0,4.0,4.0,7.0,0.0,2.0,0.0,2.0,2.0,0.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,7.0,4.0,4.0,4.0,7.0,0.0,0.0,0.0,2.0,187.0,Pe,Alpha,4.0,45.0,16.0,33.0,0.8367346938775511,0.3469387755102041
112,Bruce Springsteen,Juan E. Sandoval,seti,i--i,unguarded,3.0,low,medium,male,1940s,north_america,white/european,0.0,0.0,2.0,2.0,0.0,7.0,4.0,4.0,7.0,4.0,4.0,4.0,4.0,7.0,2.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,4.0,4.0,0.0,2.0,4.0,0.0,4.0,7.0,2.0,4.0,4.0,7.0,7.0,2.0,4.0,2.0,7.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,4.0,177.0,Pe,Beta,4.0,25.0,37.0,17.0,0.7241379310344828,-0.37037037037037035
113,Cynthia Lennon,Juan E. Sandoval,fine,i---,unguarded,1.0,low,low,female,1930s,western_europe,white/european,7.0,7.0,4.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,2.0,2.0,2.0,0.0,0.0,4.0,2.0,2.0,2.0,2.0,0.0,0.0,4.0,7.0,7.0,4.0,2.0,7.0,2.0,7.0,4.0,0.0,0.0,0.0,0.0,7.0,2.0,4.0,0.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,4.0,4.0,4.0,0.0,4.0,2.0,4.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,156.0,Ji,Delta,22.0,12.0,8.0,22.0,-0.29411764705882354,0.4666666666666667
114,Guillermo del Toro,Calin Copil,nife,ii-i,unguarded,1.0,medium,medium,male,1960s,latin_america,white/european,0.0,0.0,2.0,4.0,0.0,4.0,2.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0,0.0,2.0,4.0,2.0,4.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,4.0,2.0,2.0,2.0,4.0,7.0,2.0,2.0,0.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,4.0,2.0,4.0,2.0,2.0,0.0,0.0,172.0,Pi,Beta,16.0,25.0,20.0,12.0,0.21951219512195122,-0.25
115,George R.R. Martin,Juan E. Sandoval,nite,i---,unguarded,1.0,medium,low,male,1940s,western_europe,white/european,0.0,0.0,2.0,0.0,0.0,7.0,7.0,7.0,7.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,7.0,7.0,2.0,7.0,2.0,4.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,4.0,7.0,7.0,4.0,2.0,0.0,2.0,2.0,7.0,4.0,0.0,0.0,2.0,2.0,0.0,4.0,7.0,0.0,2.0,4.0,4.0,4.0,0.0,7.0,7.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,182.0,Pi,Gamma,35.0,17.0,28.0,6.0,-0.34615384615384615,-0.6470588235294118
117,Novak Djokovic,Juan E. Sandoval,seti,i-ii,unguarded,1.0,low,low,male,1980s,eastern_europe,white/european,2.0,0.0,2.0,2.0,0.0,4.0,7.0,4.0,4.0,0.0,4.0,4.0,7.0,7.0,2.0,2.0,4.0,7.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,4.0,7.0,4.0,2.0,2.0,0.0,4.0,2.0,0.0,0.0,4.0,7.0,4.0,4.0,7.0,4.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,4.0,172.0,Pe,Beta,8.0,25.0,30.0,8.0,0.5151515151515151,-0.5789473684210527
119,Bjarne Stroustrup,Juan E. Sandoval,nite,ii--,guarded,2.0,,,male,1950s,western_europe,white/european,0.0,0.0,4.0,2.0,0.0,4.0,7.0,4.0,7.0,4.0,2.0,2.0,4.0,4.0,0.0,4.0,7.0,7.0,2.0,7.0,4.0,7.0,2.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,2.0,4.0,4.0,4.0,0.0,4.0,7.0,0.0,0.0,4.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,7.0,4.0,7.0,2.0,4.0,4.0,2.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,7.0,184.0,Pi,Gamma,25.0,14.0,30.0,8.0,-0.28205128205128205,-0.5789473684210527
122,Matt Ridley,Juan E. Sandoval,teni,i---,guarded,1.0,low,low,male,1950s,western_europe,white/european,4.0,4.0,7.0,7.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,4.0,4.0,2.0,0.0,7.0,7.0,4.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,4.0,2.0,7.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,0.0,7.0,4.0,4.0,7.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,4.0,182.0,Je,Gamma,48.0,4.0,29.0,6.0,-0.8461538461538461,-0.6571428571428571
124,Debbie Harry,Peter Foy,sefi,ii-i,guarded,2.0,low,,female,1940s,north_america,white/european,4.0,0.0,0.0,2.0,0.0,7.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,7.0,4.0,0.0,2.0,4.0,2.0,7.0,7.0,7.0,4.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,7.0,0.0,7.0,2.0,2.0,7.0,7.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,0.0,4.0,198.0,Pe,Gamma,35.0,10.0,39.0,7.0,-0.5555555555555556,-0.6956521739130435
125,Kyle,Juan E. Sandoval,nite,ii--,guarded,2.0,low,medium,male,2000s,north_america,white/european,2.0,2.0,4.0,4.0,4.0,4.0,7.0,2.0,2.0,2.0,2.0,4.0,0.0,2.0,2.0,4.0,4.0,4.0,7.0,7.0,7.0,2.0,0.0,4.0,7.0,0.0,4.0,2.0,2.0,4.0,4.0,0.0,4.0,4.0,0.0,4.0,7.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,4.0,7.0,4.0,4.0,2.0,0.0,0.0,2.0,4.0,2.0,4.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,4.0,2.0,191.0,Pi,Gamma,27.0,8.0,25.0,16.0,-0.5428571428571428,-0.21951219512195122
126,Dakotah Tyler,Calin Copil,feni,i-i-,guarded,0.0,low,low,male,-1,north_america,black/african,4.0,4.0,4.0,7.0,7.0,2.0,2.0,4.0,7.0,0.0,7.0,2.0,4.0,4.0,7.0,0.0,0.0,2.0,4.0,4.0,4.0,7.0,4.0,4.0,7.0,2.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,4.0,2.0,4.0,7.0,7.0,2.0,4.0,2.0,4.0,4.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,4.0,181.0,Je,Beta,8.0,30.0,20.0,4.0,0.5789473684210527,-0.6666666666666666
