Post Title,,Bio,Video URL,Video 2 URL,Video 3 URL,GIF Breakdown,Status,Type,Development,Emotions,Fallen Affect,J Signal Mixing,P Signal Mixing,Alternative,Sex,Age Range,Geography,Ethnicity,Checkbox,Checkbox 1,R1 Rigid Posture Copy,R2 Face Centric,R3 Punctuated Motions,R4 Vertical Movements,R5 Subordinate Fluidity,F1 Fluid Posture,F2 Eye Centric,F3 Gliding Motions,F4 Horizontal Movements,F5 Subordinate Rigidity,PF1 Restless Momentum,PF2 Toggling Eyes,PF3 Body Swaying,PF4 Casual Hands,PF5 Alert Perk Ups,RF1 Viscous Inertia,RF2 Fixed Gaze,RF3 Diagonal Eye Drifts,RF4 Searching Scowling,RF5 Narrow Head Zoning,PR1 Head Pushes,PR2 Head Shakes,PR3 Shoulder Shrugs,PR4 Fluent Articulation,PR5 Projecting Hands,RR1 Poised Receding,RR2 Disengaging Eyes,RR3 Exerted Pushes,RR4 Momentum Halting,RR5 Meticulous Hands,CA1 Taut Nasolabial Area,CA2 Vertical Snarling Smiles,CA3 Four Point Pulling,CA4 Wobbling Lips,CA5 Asymmetrical Smirks,CA6 Sassy Movements,CA7 Plateau Velocity,CA8 Nasal Breathy Voice,CA9 Grasping Hands,MS1 Lax Nasolabial Area,MS2 Horizontal Curtain Smiles,MS3 Two Point Pulling,MS4 Symmetrical Lips,MS5 Emotional Neutralization,MS6 Coordinated Movements,MS7 Parabolic Velocity,MS8 Laryngeal Faint Voice,MS9 Puppeteer Hands,GR1 Taut Preseptal Area,GR2 Lax Pretarsal Area,GR3 Taut Outer Edges,GR4 Intense Scowling,GR5 Pointed Eye Toggles,GR6 Eye Head Parallel Motion,GR7 Grounding Effect,GR8 Bodily Awareness,SU1 Lax Preseptal Area,SU2 Taut Pretarsal Area,SU3 Lax Outer Edges,SU4 Concerned Scowling,SU5 Brushstrokes Eye Toggles,SU6 Eye Head Trailing Motions,SU7 Levity Effect,SU8 Quirky Skits,EU1 Responsive Nodding,EU2 Polite Smiling,EU3 Bashful Body Movements,EG1 Upset Mouth Tension,EG2 Assertive Pushing,EG3 Stern Expressions
Katherine Heigl,Calin Copil,"Katherine Heigl is an American actress, producer, and former fashion model. She gained fame for her role as Dr. Isobel ""Izzie"" Stevens on the television series Grey's Anatomy. Heigl has also appeared in several successful films, including Knocked Up and 27 Dresses. Throughout her career, she has received various accolades, such as an Emmy Award and a Screen Actors Guild Award. In addition to acting, Heigl has ventured into producing, establishing her own production company. She is also known for animal rights &amp; welfare advocacy.",https://www.youtube.com/watch?v=fd7uJtItebA,https://www.youtube.com/watch?v=f8UOMatNK1o,https://www.youtube.com/watch?v=rvwB5XNtrlw,,,teni,i-i-,seelie,0,low,low,,female,1970s,north_america,white/european,,juan_e._sandoval | calin_copil,7,7,7,7,7,0,2,4,7,,2,7,4,4,7,,2,2,2,2,7,7,2,7,7,2,2,,2,2,7,4,7,4,,4,4,7,,,,,0,,2,2,,2,2,0,4,2,7,4,2,4,,4,,,2,,2,2,2,4,7,,4,2
Les Carter,Juan E. Sandoval,"Dr. Les Carter is a renowned psychologist, specializing in the field of narcissism and emotional health. He has more than 40 years of experience in clinical practice, helping individuals liberate themselves from toxic relationships and lead healthier lives. Carter is the author of several books, including the bestseller ""Enough about You, Let's Talk about Me"". His work also extends online, where he shares insights via his YouTube channel, ""Surviving Narcissism"", providing valuable resources for those dealing with narcissistic behavior in their lives.",https://www.youtube.com/watch?v=_7qsxeQrKhg,https://www.youtube.com/watch?v=F1XMXkbnaXg,https://www.youtube.com/watch?v=d0VqfdG9z1o,,,teni,i---,unseelie,2,low,low,ll--,male,1950s,north_america,white/european,,juan_e._sandoval,4,7,4,2,,,,,2,,2,,2,2,2,2,4,2,2,4,4,7,4,7,4,,,,,,4,7,4,2,2,4,7,7,,,,,4,,2,2,,,4,4,7,4,,,,,4,,,2,,,0,,,,,4,4,4
Ramani Durvasula,Juan E. Sandoval,"Dr. Ramani Durvasula is a clinical psychologist and professor of psychology at California State University, Los Angeles. She has gained recognition for her work on narcissistic personality disorder, contributing to the academic discourse and public understanding of the subject. Author of the book ""Should I Stay or Should I Go: Surviving a Relationship with a Narcissist"", Durvasula has a distinctive approach to discussing mental health issues. Her expertise is frequently sought in media discussions about narcissism and related topics.",https://www.youtube.com/watch?v=VOEFh5042JQ,https://www.youtube.com/watch?v=BLWZ8UOiMUk&t=34s,https://www.youtube.com/watch?v=d5VtTHFnkXk&t=87s,,,teni,i-i-,unseelie,0,low,low,l--- in some videos,female,1960s,north_america,indo-aryan,,juan_e._sandoval,4,4,7,4,7,4,2,4,2,,4,0,4,2,7,,,2,,,7,7,4,7,7,,,,,,,4,7,4,2,7,7,2,4,4,,,,,4,2,,,7,4,7,7,4,,2,2,,,,,,,2,2,2,2,,,4,2
Sam Vaknin,Juan E. Sandoval,"Sam Vaknin is an Israeli author, psychologist and writer on narcissism. He holds a Ph.D. in Philosophy and has served as an adviser to Macedonia's Ministry of Finance. He's best known for his self-published book ""Malignant Self-Love: Narcissism Revisited"", an exploration of narcissistic personality disorder from his perspective as a self-diagnosed narcissist. Vaknin's work includes articles, YouTube videos, and other resources designed to educate people about the complex dynamics of narcissism.",https://www.youtube.com/watch?v=OAcm_qqw9ts,https://www.youtube.com/watch?v=EPFcYazSiDM,https://www.youtube.com/watch?v=sU305NqXT94,,,teni,i---,unseelie,0,,,,male,1960s,middle_east/north_africa,jewish,,juan_e._sandoval,4,7,7,7,4,2,,,,,4,,2,,4,,2,4,2,,7,7,4,7,7,,,,,,7,2,7,4,2,7,7,,,,,,,,2,2,2,,7,4,7,4,,,2,,,,,,,,,,2,,,7,7,7
Steven Tyler,Sierra Schwartz,"Steven Tyler is an iconic American musician, singer, and songwriter, best known as the lead vocalist of the rock band Aerosmith. Born on March 26, 1948, Tyler's powerful voice and charismatic stage presence have made him a legendary figure in the world of rock music. With his distinctive high-pitched vocals and energetic performances, Tyler has influenced countless artists and captivated audiences worldwide. Beyond his musical accomplishments, he has also ventured into acting and philanthropy, showcasing his diverse talents and commitment to making a difference. Steven Tyler continues to leave an indelible mark on the music industry, cementing his status as a rock 'n' roll icon.",https://www.youtube.com/watch?v=NB8_ovqG4r8,https://www.youtube.com/watch?v=-2wOLzOx70o,https://www.youtube.com/watch?v=AugJhtrZw10,https://docs.google.com/document/d/1WmkEV1EbWEF0UWxr_jCutH6r0bkn-pmU08Bg94B0z3M/edit,,neti,i-i-,directive,0,low,low,FeSi I-I-,male,1940s,north_america,white/european,,juan_e._sandoval | calin_copil | sierra_rose,,2,4,2,,7,4,4,4,7,7,4,2,4,4,2,2,2,2,,4,2,4,7,4,,2,,,4,,,,,,2,2,,,7,7,7,4,4,4,4,7,2,,,,,,,,2,4,7,7,4,4,7,7,7,2,2,,4,4,4
Howard the Printer,Juan E. Sandoval,"Howard the Printer is a volunteer docent at the Sacramento History Museum. He works with authentic printing press machines used by the Sacramento Bee in the 1800's, and makes educational videos about various printing press processes. His topics include not just press operations, but also how various idioms entered the English language from the printing press era, to history lessons about special American events and holidays.",https://www.youtube.com/watch?v=uMk3JusH-Mo,https://www.youtube.com/watch?v=YAOOz_7_v9Q,https://www.youtube.com/watch?v=n4CEJe7H-44,,,site,i---,unseelie,0,low,low,,male,-1,north_america,white/european,,juan_e._sandoval | calin_copil | peter_j._foy,4,,,,,4,7,2,7,4,2,,,4,,4,7,4,4,7,,,,2,,,,,,2,2,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2
Melissa Dougherty,Sierra Schwartz,"Melissa Dougherty is a renowned Christian apologist and speaker, recognized for her expertise in defending the Christian faith and engaging with skeptics. With a deep understanding of theology, philosophy, and apologetics, Melissa skillfully addresses complex questions and challenges to the Christian worldview. Her compelling arguments and compassionate approach have made her a sought-after speaker at conferences and universities, where she equips audiences with intellectual tools to navigate the intersection of faith and reason. Melissa's passion for truth, coupled with her ability to communicate with clarity and empathy, has earned her a reputation as a respected voice in the realm of Christian apologetics. She is committed to helping others develop a robust and intellectually sound faith in an increasingly skeptical world. ",https://www.youtube.com/watch?v=eSHGXG-1E7A,https://www.youtube.com/watch?v=fxxOPSUAteE,https://www.youtube.com/watch?v=w-1ixdWS9wE,https://docs.google.com/document/d/13dq7vtE-3vULpi4r_LiRNXfV2aEoWmOe_W1DIulTWdM/edit,,feni,i-i-,directive,0,low,low,,female,1980s,north_america,white/european,,juan_e._sandoval | calin_copil | sierra_rose,7,4,7,4,2,2,2,2,2,2,2,7,2,4,2,0,2,2,2,2,2,4,4,7,7,2,2,0,2,4,0,2,0,0,2,4,2,0,2,7,4,4,7,4,7,7,4,0,7,4,4,4,7,4,2,4,,,,,2,,,,2,4,0,2,7,2
ButHa,Juan E. Sandoval,"ButHa is an experienced event manager with over 20 years of service in the industry. Formerly in law enforcement, ButHa enjoys his current work's diversity and autonomy. In his free time, he's drawn to activities such as working out, playing Dungeons &amp; Dragons, and personality typology. He has a charming, playful and free-spirited personality, but over time he's also learned to balance that with strong discipline.",https://www.youtube.com/watch?v=nmbSRzAUQ24,https://www.youtube.com/watch?v=s_WoDP1t4Nc,https://www.youtube.com/watch?v=1Owyy-waHzk,,,neti,i-i-,adaptive,0,low,low,,male,-1,north_america,white/european,,juan_e._sandoval | peter_j._foy,,,4,2,,4,4,2,4,4,4,4,4,4,2,,,2,2,,4,2,2,4,4,,,2,4,2,,2,,2,,,,,2,7,2,4,4,2,4,4,2,2,2,0,0,0,2,2,,4,4,4,4,4,,,4,2,4,2,4,,,
Olivia Rodrigo,Juan E. Sandoval,"Olivia Rodrigo, born on February 20, 2003, is an American singer-songwriter and actress known for her raw and emotive pop anthems. She gained fame as an actress in Disney shows like ""Bizaardvark"" and ""High School Musical: The Musical: The Series"". Rodrigo's music career skyrocketed with her debut single ""drivers license"", which topped global charts in 2021, followed by her critically acclaimed debut album ""Sour"". Her lyrics, often drawing from personal experiences, have resonated with a wide audience, cementing her as a defining voice of her generation.",https://www.youtube.com/watch?v=-ZZ9QV5vovM,https://www.youtube.com/watch?v=lJFaB20SanQ,https://www.youtube.com/watch?v=lS-qtkRvwx8,https://docs.google.com/document/d/1Qiz9_A7VFADRjpmv3emjLJAXuu4gGJYS6aJ5yn-2Bx0/edit,,sefi,ii--,seelie,0,low,low,,female,2000s,north_america,other/unknown,,juan_e._sandoval | calin_copil | peter_j._foy,4,4,,,,,2,4,4,4,4,4,2,4,7,,,,,,,2,,4,,4,4,2,2,4,2,7,4,7,4,,2,2,,,2,2,,,,,,,7,4,7,4,4,4,,,,,,,4,,2,2,4,4,7,,,
Gerald Edelman,Calin Copil,"Gerald Edelman was a prominent American biologist and neuroscientist known for his groundbreaking research on the immune system and the theory of neuronal group selection. In 1972, he was awarded the Nobel Prize in Physiology or Medicine for his contributions. Edelman's notable achievements include founding the Neurosciences Institute and developing the theory of ""neural Darwinism."" He dedicated his work to unraveling the intricate interactions of neurons and understanding their role in consciousness and higher cognitive functions. Throughout his career, Edelman left a lasting impact on the fields of immunology and neuroscience.
",https://www.youtube.com/watch?v=qmyfQY4TaVc,https://www.youtube.com/watch?v=dvbbnelnDcA,,https://docs.google.com/document/d/17wcSN8PUqiw5WZCDGwuDOdgV-mDLy8xJGc1OBLdurLA/edit,,sife,i---,directive,2,low,,II--,male,1920s,north_america,jewish,,juan_e._sandoval | calin_copil | peter_j._foy,,,2,4,,2,2,2,4,2,,,2,2,2,7,7,4,2,7,2,2,2,4,4,,2,,2,4,,2,,2,,,,,2,7,,,4,2,4,7,7,,,,,,,,,,7,7,7,2,,,,,,,2,2,2,4
Carolyn Elliott,Juan E. Sandoval,"Carolyn Elliott is an acclaimed author and coach, renowned for her book ""Existential Kink"" which takes an unorthodox approach to self-empowerment. She holds a PhD in Critical and Cultural Studies from the University of Pittsburgh. Her work, focusing on personal transformation, integrates lesser-known spiritual practices with psychological tools. As the founder of WITCH magazine, she extends her reach beyond traditional coaching methods, utilizing a platform that intertwines self-help with esoteric and occult traditions. She brings a unique, pragmatic approach to navigating life's complexities.",https://www.youtube.com/watch?v=xyKu0wNXA-c,https://www.youtube.com/watch?v=n4KNnfWDrnY,https://www.youtube.com/watch?v=2-aiZ-CIo0M&t=424s,https://docs.google.com/document/d/1ZSZ3scB3_l0a9atOEc9Irif0BQUJoBWveVwj0qxktEE/edit,,teni,i-ii,seelie,0,low,low,llll,female,-1,north_america,white/european,,juan_e._sandoval | calin_copil | peter_j._foy,4,7,4,4,7,0,0,2,2,,2,4,2,4,4,4,2,,2,2,7,7,2,7,7,,2,2,4,7,7,7,7,4,2,4,7,2,,,,,,2,4,2,,,7,4,7,7,,4,,2,,,,,2,,2,,7,7,4,,,
Gervonta Davis,Calin Copil,"Gervonta Davis is an American professional boxer who has held world championships in multiple weight classes. As of June 2023, he boasts an impressive record of 29 wins, 0 defeats, and 27 knockouts. Due to his exceptional punching power, knockout abilities, and ferocious fighting style, Davis has drawn comparisons to Mike Tyson.",https://www.youtube.com/watch?v=ox86PSnrFP4,https://www.youtube.com/watch?v=faoeW_iwOo0,,https://docs.google.com/document/d/1M9o-YF87qJqFaaotBgpxz-iQDrbxFW8uz9vLYsHSNsU/edit,,seti,i---,directive,0,,low,,male,1990s,north_america,black/african,,juan_e._sandoval | calin_copil | peter_j._foy,,,,4,,7,7,7,4,2,7,4,4,7,4,2,2,4,2,,2,2,2,2,2,2,2,2,2,2,,2,,,,2,,,,7,4,4,4,7,2,2,2,,0,2,2,2,4,7,4,7,2,4,,2,,,,,,2,2,2,2,2
Hania Rani,Peter Foy,"Hania Rani is a Polish pianist and composer known for her emotive and contemporary style of music. With a delicate touch and expressive playing, her piano compositions evoke a range of emotions, combining elements of classical, electronic, and experimental genres. Her minimalist approach, attention to detail, and dynamic energy help create captivating performances that have garnered critical acclaim and made her an emerging figure in the contemporary music scene.",https://www.youtube.com/watch?v=PAe5igNdBuI,https://www.youtube.com/watch?v=ardD-eBgFgM,https://www.youtube.com/watch?v=WRSCm4JBjhE&t,,,tine,ii-i,adaptive,0,,low,II--,female,1990s,eastern_europe,white/european,,juan_e._sandoval | calin_copil | peter_j._foy,7,7,4,4,7,2,0,2,4,2,4,7,4,7,7,,,2,,,2,4,2,4,4,7,7,4,2,4,0,,,,,,,,,7,4,7,7,4,4,7,2,4,4,,2,,0,4,0,4,2,2,4,4,7,4,7,2,4,7,2,,,
Torie Bosch,Juan E. Sandoval,"Torie Bosch is the First Opinion editor at STAT. She was previously the editor of Future Tense, a collaboration between Slate magazine, Arizona State University, and New America that covers the intersection of technology, policy, and society. She also worked as an associate editor at Slate where she edited the medical and religion departments.",https://www.youtube.com/watch?v=mx9El-Vi-Og,https://www.youtube.com/watch?v=khhGRDTrS0o,https://www.youtube.com/watch?v=hg-puN5GEFs,https://docs.google.com/document/d/19XVrGsONKp0NZrgBxANgWo7RGHq7hnuPJS6DZMMyPng/edit?usp=sharing,,nefi,iii-,seelie,0,low,low,,female,1980s,north_america,white/european,,juan_e._sandoval | calin_copil | ash_rose,2,2,4,,0,4,4,7,4,4,7,4,7,2,7,,2,2,,,2,4,2,7,2,4,4,2,4,2,2,4,4,4,,4,7,4,,,,,,,2,2,,,,,,,4,,,,2,7,7,,2,2,4,,2,4,2,,,
Marisa LaBlue,Juan E. Sandoval,"Marisa LaBlue is a YouTuber who is dedicated to all things astrology, spirituality, and self-transformation. She has a YouTube channel where she teaches astrology and spirituality for self-transformation. She is also the founder of HyperThrive which aims to educate people and help their businesses thrive in the online and offline space of today’s economy.",https://www.youtube.com/watch?v=Px1WabVb80g,https://www.youtube.com/watch?v=uJ_bRrwFYMY,https://www.youtube.com/watch?v=qXmsh_PtPns,,,sefi,i---,seelie,1,medium,low,,female,2000s,north_america,hispanic/latino,,juan_e._sandoval | peter_j._foy,,,4,2,,4,7,7,4,2,7,4,7,4,2,,2,,,2,0,2,2,4,2,,,,,2,2,,4,7,2,2,,2,,2,4,,0,,2,2,0,,7,4,7,,4,,,2,,,,,,,2,,,4,,,,
Shohreh Aghdashloo,Calin Copil,"Shohreh Aghdashloo is an Iranian-American actress who has achieved international recognition and numerous accolades, including an Emmy Award and an Academy Award nomination. Born in Tehran, she began her acting career in Iran before transitioning to Hollywood. Her regal presence, distinctive voice, and ability to convey a wide range of emotions, have helped her become a respected and admired figure in the world of acting.",https://www.youtube.com/watch?v=8FV5UjAufnQ,,,https://docs.google.com/document/d/1dtBoypHejtY6pfhYBJDCSHG_y7gb3Wc3fT4yxkhUPd8/edit,,feni,i---,adaptive,0,low,low,,female,-1,-1,-1,,juan_e._sandoval | calin_copil | peter_j._foy,4,4,7,7,4,0,,4,2,,2,4,2,2,2,0,2,4,2,,7,7,2,4,7,2,2,2,2,4,2,,2,2,0,2,2,,2,,7,7,4,2,7,7,,4,4,2,4,2,4,4,4,2,,2,,2,0,,2,4,7,7,2,,4,2
Avicii,Sierra Schwartz,"Avicii, born Tim Bergling (1989-2018), was a Swedish DJ, musician, and record producer who left an indelible mark on the electronic dance music (EDM) scene. With his unique blend of melodic beats and catchy hooks, Avicii rose to international fame with chart-topping hits like ""Levels"" and ""Wake Me Up."" Known for his energetic live performances, he became an icon of EDM and inspired a generation of artists. Despite his success, Avicii battled with mental health issues and tragically passed away at the age of 28. His contributions to the music industry and his enduring legacy continue to inspire millions of fans worldwide.",https://www.youtube.com/watch?v=Geew-ZztkNc,https://www.youtube.com/watch?v=-dIcuU58Oy8,https://www.youtube.com/watch?v=ipMXlfw-Eso,https://docs.google.com/document/d/1B_ULAkuIYURuNjo91KSuW7LzwuWvCrdI79ICYNotrxc/edit,,sefi,i---,unseelie,2,low,low,,male,1980s,western_europe,white/european,,juan_e._sandoval | calin_copil | sierra_rose,0,0,2,2,2,7,4,7,7,4,7,4,7,7,4,2,2,4,2,2,2,,4,4,2,,4,,2,,7,7,4,4,7,4,4,2,2,,,,,4,,,4,,2,4,7,4,7,,7,4,4,2,,,,,,,2,2,2,4,2,4
Joe Dispenza,Juan E. Sandoval,"Joe Dispenza is a renowned speaker, author, and educator focused on the intersection of neuroscience, epigenetics, and quantum physics. His work emphasizes the power of the mind in healing and personal transformation. He gained global recognition after appearing in the documentary ""What the BLEEP Do We Know!?"" Dr. Dispenza conducts workshops and training programs worldwide, teaching people to rewire their brains and recondition their bodies for a healthier and more fulfilling life. His best-selling books include ""Breaking the Habit of Being Yourself"" and ""You Are the Placebo"". He remains a pioneering figure in mind-body science.",https://www.youtube.com/watch?v=La9oLLoI5Rc,https://www.youtube.com/watch?v=lAnWhIl2qY8,https://www.youtube.com/watch?v=RYfjz-etukA,https://docs.google.com/document/d/1IjkKATNrsik-X0kzLxfQa9MrvhLnw_zkeFAw0W6zuXA/edit?usp=sharing,,feni,i-i-,adaptive,1,low,low,,male,1960s,north_america,white/european,,juan_e._sandoval | calin_copil | peter_j._foy,4,2,4,7,7,4,4,4,4,,2,2,7,4,2,2,0,4,2,2,4,7,,7,7,,,,,2,2,,2,,2,,2,,,4,4,4,7,2,7,7,4,4,2,4,4,4,2,7,4,2,2,4,2,,2,,2,,4,4,,,2,4
Marina Abramovic,Juan E. Sandoval,"Marina Abramović is a pioneering performance artist whose work explores the relationship between performer and audience, the limits of the body, and the possibilities of the mind. Born in Belgrade in 1946, she began her career in the early 1970s and remains one of the most influential figures in contemporary art. Her performances, which often endure for hours or days, have provoked fascination and controversy. Abramović's notable works include ""Rhythm 0"" (1974) and ""The Artist Is Present"" (2010), which solidified her standing as the ""grandmother of performance art.""",https://www.youtube.com/watch?v=rcmt3UebS_o,https://www.youtube.com/watch?v=oL79H0C45p0,https://www.youtube.com/watch?v=jWz6EzevOVU,,,fise,i---,unseelie,0,medium,low,l-l- or l-ll,female,1940s,eastern_europe,white/european,,juan_e._sandoval | peter_j._foy,7,4,2,4,4,,4,,,,,2,,,,0,4,2,,7,2,2,2,2,2,7,7,2,2,2,4,4,4,4,,2,2,,4,,,,2,,2,4,4,,7,4,7,2,4,,4,,,,,,0,,,,,,,2,,7
Brett Cooper,Juan E. Sandoval,"Brett Cooper is an American conservative political commentator, media personality, and actress. She hosts the YouTube channel The Comments Section with Brett Cooper produced by the Daily Wire. She has written for the Foundation for Economic Education and was an ambassador for PragerU and Turning Point USA. Brett Cooper began her professional acting career at the age of 10 after she moved to Los Angeles. She started in theater, and later moved on to star in film and television.",https://www.youtube.com/watch?v=KPeoCkPFumU,https://www.youtube.com/watch?v=FJ_VsVMMO00,https://www.youtube.com/watch?v=o_myfqQ29Y0,,,teni,i-i-,unseelie,0,low,low,,female,2000s,north_america,other/unknown,,juan_e._sandoval | peter_j._foy,2,2,7,7,2,2,2,4,,2,7,2,4,2,4,,2,2,,,4,7,2,7,7,,,,,2,2,,2,7,,2,4,7,4,2,,2,,,4,2,,,7,2,7,,4,,,,,,,,,,2,4,2,2,,,7,2
James Lindsay,Peter Foy,"James A. Lindsay is an American author, mathematician, and public intellectual. He holds a Ph.D. in mathematics and has written extensively on various subjects, including atheism, skepticism, social justice, and critical thinking. Lindsay is known for his critical examination of ideological movements and his involvement in the ""Grievance Studies Affair."" He has contributed to the public discourse through his books, articles, and online presence, engaging in discussions and debates on topics such as religion, identity politics, and academic integrity.",https://www.youtube.com/watch?v=bnrdyphape4,https://www.youtube.com/watch?v=g_NTXZymro8,https://www.youtube.com/watch?v=HtKfrRcm6Vs&t,https://docs.google.com/document/d/1ygaMAUyKaTXJZSP-iTZ5dijvdhCpgZUb2e5bDJzKYrQ/edit?usp=sharing,,tesi,i---,unseelie,1,,,II--,male,1970s,north_america,white/european,,juan_e._sandoval | calin_copil | peter_j._foy,7,7,4,2,7,,,,4,,,2,0,4,4,2,2,4,,4,7,7,4,7,7,,,,2,,7,,4,4,4,7,7,2,4,,,,,,,2,,,4,,0,,2,,,,2,4,4,,2,4,,,4,,,4,4,7
Mike Holtz,Calin Copil,"Mike Holtz is a co-founder and content creator of WeWatchedAMovie, a YouTube channel dedicated to reviewing and discussing movies. With an energetic and engaging on-screen presence, Mike delivers entertaining and often humorous movie reviews, trailer reactions, and discussions on various pop culture topics. ",https://www.youtube.com/watch?v=9OXKqF1Zpf4,https://www.youtube.com/watch?v=yQ2soSfJpa0,,https://docs.google.com/document/d/1x4NLbkp0NAyiKe2FXC16GU0DsuqQb4leUu8oZJc-r-k/edit,,nefi,i-i-,unseelie,0,low,low,,male,-1,north_america,white/european,,juan_e._sandoval | calin_copil,,,2,4,,4,4,7,7,7,7,2,7,7,7,,,4,2,2,4,4,2,7,7,,,2,,,4,,2,2,7,7,7,7,,,4,4,,,4,2,,,,,4,,2,,,,4,4,,2,2,,4,7,,,,,7,7
Julian Gewirtz,Juan E. Sandoval,"Julian Gewirtz is a prominent economist and scholar, widely known for his work on the transformative economic reforms in China. A graduate of Harvard and Oxford, Gewirtz has earned recognition for his analytical insights into China's transition to a market-based economy and its global implications. His writings have appeared in top-tier academic journals and media outlets. He authored the acclaimed book ""Unlikely Partners: Chinese Reformers, Western Economists, and the Making of Global China,"" which offers a comprehensive analysis of the cross-cultural exchange of economic ideas. He previously served in the Obama administration and has been Senior Fellow for China Studies at the Council on Foreign Relations. He's a lecturer in history at Harvard University and Columbia University.",https://www.youtube.com/watch?v=1DIrLQiM87o,https://www.youtube.com/watch?v=-c__yroaRUQ,https://www.youtube.com/watch?v=y_bn9QcrMq4,,,teni,i---,seelie,0,medium,low,,male,1990s,north_america,other/unknown,,juan_e._sandoval | peter_j._foy,7,4,4,7,2,,2,,,2,,2,,,2,,4,2,,4,4,7,,4,4,,,,2,,7,4,4,7,2,2,4,,2,,4,,,,4,7,4,,7,2,7,,4,,,,2,2,,,,,,,2,4,,,,
Gabriel Barkay,Juan E. Sandoval,"Gabriel Barkay is a renowned Israeli archaeologist, born in 1944 in Hungary. A professor emeritus at Bar Ilan University, he is best known for his excavations in Jerusalem, especially at the Ketef Hinnom site where he discovered the oldest known copies of biblical text. He's the co-founder of the Temple Mount Sifting Project. Barkay's work, significantly contributing to our understanding of ancient Jerusalem, has earned him the prestigious Israel Prize for Archaeology in 1996. His commitment to archaeological research and teaching makes him a vital figure in the study of the history and archaeology of the Holy Land.",https://www.youtube.com/watch?v=raxJmXONy10,https://www.youtube.com/watch?v=W50O2sQBTMU,https://www.youtube.com/watch?v=moW-K3-HDbU&t=273s,,,sife,i---,adaptive,2,low,low,,male,1940s,middle_east/north_africa,jewish,,juan_e._sandoval | bella_hershkoviz,,,2,,,7,7,2,4,7,,2,,2,,7,7,7,7,7,2,2,,2,2,,2,,2,2,2,,,2,,,,,,,4,4,4,4,2,4,7,2,,,,,2,,2,,7,7,7,7,,,,,2,2,,,,2
Thyssen,Juan E. Sandoval,"Thyssen is a recreational composer inclined towards ambient, experimental, and classical styles of music. He's fascinated with the evolution of music across history. His philosophical interests include Descartes, Heidegger, Jung, Nietzsche, Deleuze and others. He's studying neuroscience and believes intuition is a product of lower frequencies and core parts of the brain that are timeless and rooted in the collective unconscious. He's written a research paper on panpsychism and its scientific merit, and explores the notion of the universe being consciously interconnected through quantum effects.",https://www.youtube.com/watch?v=G3cHyWRcQOA,https://www.youtube.com/watch?v=a_q7J6heak0&list=PLhFEjslpW4IN3QlyEp2hXDd2g0kBizKTU&index=1,https://www.youtube.com/watch?v=lxWH260J3NM,,,nife,i--i,adaptive,2,low,low,,male,2000s,north_america,indo-aryan,,juan_e._sandoval | calin_copil | ash_rose,,,2,4,,7,7,4,2,4,4,2,4,4,2,4,7,7,,4,,,,,2,2,2,,2,4,2,,2,2,2,,,,,4,2,4,4,7,2,2,7,2,4,4,7,,4,,4,,2,2,,,,,,,4,2,,,,4
Dave Soldier,Ash Rose,"Dave Soldier is an American composer, musician, and neuroscientist. He has defied musical boundaries by blending classical, jazz, rock, and avant-garde styles. As a founding member of the Soldier String Quartet, he gained acclaim for innovative performances with artists like Ornette Coleman. Alongside his musical pursuits, Soldier holds a Ph.D. in neuroscience from Columbia University. He has combined his scientific expertise with his artistic sensibilities, creating personalized symphonies based on individuals' DNA sequences. With collaborations ranging from the Thai Elephant Orchestra to the Kropotkins rock band, Soldier's multidisciplinary approach continues to challenge and inspire. His contributions to music and neuroscience make him a remarkable figure in both fields.",https://www.youtube.com/watch?v=U8cIpinKj7c,https://www.youtube.com/watch?v=-UmfTRYcO70,https://www.youtube.com/watch?v=mpxNDHj596k,,,nife,i--i,adaptive,3,low,medium,,male,1950s,north_america,white/european,,juan_e._sandoval | ash_rose,,,2,2,,4,4,4,4,2,4,,7,4,2,4,7,,4,7,4,2,2,2,2,0,4,2,2,2,,,4,4,2,,,,,7,7,4,4,7,7,7,4,,,7,2,4,2,,4,2,4,,4,2,,,4,,4,2,,,,4
Cher,Juan E. Sandoval,"Cher, born Cherilyn Sarkisian in 1946, is an American singer, actress, and television personality. Over her six-decade career, she emerged as a pop culture icon with hits like ""Believe"" and ""If I Could Turn Back Time."" She's the only artist to have a number-one single on a Billboard chart in six different decades. Cher is also an acclaimed actress, earning an Academy Award for her performance in ""Moonstruck"" (1987). Her flamboyant style has made her a fashion influencer.",https://www.youtube.com/watch?v=kEBOcamknzA,https://www.youtube.com/watch?v=jdzj89Friu4,https://www.youtube.com/watch?v=_n9hnWcOYVA,,,fise,i---,unseelie,0,medium,low,,female,1940s,north_america,white/european,,juan_e._sandoval | calin_copil,7,7,2,2,2,,,,,2,2,7,2,2,0,,,,,4,2,2,,2,2,7,2,2,7,7,,7,2,4,,2,,4,0,4,,4,,,2,2,,,7,4,7,,4,,,2,2,2,,,2,,,2,2,2,2,4,,4
